zipcode,Grade,start_date,end_date,InPerson,Total_students,Capacity
15087,UNIVERSITY,2021-04-09,2021-04-18,0.022215622138582733,1,0.022215622138582733
15087,UNIVERSITY,2021-04-18,2021-04-26,0.021870630867121293,1,0.021870630867121293
15087,UNIVERSITY,2021-05-10,2021-05-24,0.021870630867121293,1,0.021870630867121293
15090,SECONDARY,2021-02-15,2021-03-05,2.1777055271713888,357,0.0061000154822727975
15090,SECONDARY,2021-03-05,2021-03-12,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-03-12,2021-03-19,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-03-19,2021-03-26,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-03-26,2021-04-09,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-04-09,2021-04-18,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-04-18,2021-04-26,0.8954017649790988,357,0.0025081281932187644
15090,SECONDARY,2021-05-10,2021-05-24,0.8954017649790988,357,0.0025081281932187644
15092,SECONDARY,2021-02-15,2021-03-05,3.3646384889301753,301,0.011178200959900915
15092,SECONDARY,2021-03-05,2021-03-12,3.3646384889301753,301,0.011178200959900915
15092,SECONDARY,2021-03-12,2021-03-19,0.540579037002632,301,0.0017959436445270165
15092,SECONDARY,2021-03-19,2021-03-26,0.540579037002632,301,0.0017959436445270165
15092,SECONDARY,2021-03-26,2021-04-09,0.540579037002632,301,0.0017959436445270165
15092,SECONDARY,2021-04-09,2021-04-18,0.32621148784641585,301,0.0010837590958352687
15092,SECONDARY,2021-04-18,2021-04-26,0.5219383805542653,301,0.0017340145533364297
15092,SECONDARY,2021-05-10,2021-05-24,0.5219383805542653,301,0.0017340145533364297
15097,SECONDARY,2021-02-15,2021-03-05,12.132837900603809,555,0.021860969190277132
15097,SECONDARY,2021-03-05,2021-03-12,1.8903855085926615,555,0.003406100015482273
15097,SECONDARY,2021-03-12,2021-03-19,1.8903855085926615,555,0.003406100015482273
15097,SECONDARY,2021-03-19,2021-03-26,1.8903855085926615,555,0.003406100015482273
15097,SECONDARY,2021-03-26,2021-04-09,1.8903855085926615,555,0.003406100015482273
15097,SECONDARY,2021-04-09,2021-04-18,1.8903855085926615,555,0.003406100015482273
15097,SECONDARY,2021-04-18,2021-04-26,1.8903855085926615,555,0.003406100015482273
15097,SECONDARY,2021-05-10,2021-05-24,1.8903855085926615,555,0.003406100015482273
15097,UNIVERSITY,2021-02-15,2021-03-05,1.3797312051089836,89,0.0155025978102133
15097,UNIVERSITY,2021-03-05,2021-03-12,1.3797312051089836,89,0.0155025978102133
15097,UNIVERSITY,2021-03-12,2021-03-19,1.4742644293247769,89,0.016564768868817716
15097,UNIVERSITY,2021-03-19,2021-03-26,1.5340568638996464,89,0.01723659397640052
15097,UNIVERSITY,2021-03-26,2021-04-09,1.960049102892998,89,0.022023023628011215
15097,UNIVERSITY,2021-04-09,2021-04-18,1.9771903703338631,89,0.022215622138582733
15097,UNIVERSITY,2021-04-18,2021-04-26,1.946486147173795,89,0.021870630867121293
15097,UNIVERSITY,2021-05-10,2021-05-24,1.946486147173795,89,0.021870630867121293
15104,SECONDARY,2021-02-15,2021-03-05,9.310171853228052,648,0.01436754915621613
15104,SECONDARY,2021-03-05,2021-03-12,9.310171853228052,648,0.01436754915621613
15104,SECONDARY,2021-03-12,2021-03-19,9.310171853228052,648,0.01436754915621613
15104,SECONDARY,2021-03-19,2021-03-26,9.310171853228052,648,0.01436754915621613
15104,SECONDARY,2021-03-26,2021-04-09,9.310171853228052,648,0.01436754915621613
15104,SECONDARY,2021-04-09,2021-04-18,9.310171853228052,648,0.01436754915621613
15104,SECONDARY,2021-04-18,2021-04-26,9.310171853228052,648,0.01436754915621613
15104,SECONDARY,2021-05-10,2021-05-24,9.310171853228052,648,0.01436754915621613
15106,SECONDARY,2021-02-15,2021-03-05,12.089115962223254,553,0.021860969190277132
15106,SECONDARY,2021-03-05,2021-03-12,1.8835733085616968,553,0.0034061000154822726
15106,SECONDARY,2021-03-12,2021-03-19,1.8835733085616968,553,0.0034061000154822726
15106,SECONDARY,2021-03-19,2021-03-26,1.8835733085616968,553,0.0034061000154822726
15106,SECONDARY,2021-03-26,2021-04-09,1.8835733085616968,553,0.0034061000154822726
15106,SECONDARY,2021-04-09,2021-04-18,1.8835733085616968,553,0.0034061000154822726
15106,SECONDARY,2021-04-18,2021-04-26,1.8835733085616968,553,0.0034061000154822726
