CODE,Grade,InPerson,Total_students,zipcode,Capacity,start_date,end_date
311001104697,PREK,3,22,001405,0.13636363636363635,2021-02-15,2021-03-05
311001109141,PREK,8.200000000000001,42,004505,0.19523809523809527,2021-02-15,2021-03-05
311001092940,PREK,3.4000000000000004,44,008510,0.07727272727272728,2021-02-15,2021-03-05
311001098107,PREK,15.4,17,001207,0.9058823529411765,2021-02-15,2021-03-05
311001043621,PREK,5,47,001204,0.10638297872340426,2021-02-15,2021-03-05
311001042314,PREK,2.8000000000000003,39,009102,0.0717948717948718,2021-02-15,2021-03-05
311001040192,PREK,7.800000000000001,55,005307,0.14181818181818184,2021-02-15,2021-03-05
311001100101,PREK,8.200000000000001,29,005106,0.2827586206896552,2021-02-15,2021-03-05
311001051305,PREK,4,90,009207,0.044444444444444446,2021-02-15,2021-03-05
311001091561,PREK,2.2,10,003103,0.22000000000000003,2021-02-15,2021-03-05
311001098336,PREK,4.4,52,008516,0.08461538461538462,2021-02-15,2021-03-05
311001106487,PREK,3,28,009219,0.10714285714285714,2021-02-15,2021-03-05
311001076499,PREK,3.6,31,005614,0.11612903225806452,2021-02-15,2021-03-05
311001100608,PREK,2.8000000000000003,28,006312,0.1,2021-02-15,2021-03-05
311001109621,PREK,3.4000000000000004,14,005614,0.24285714285714288,2021-02-15,2021-03-05
311001031991,PREK,5.2,35,007401,0.14857142857142858,2021-02-15,2021-03-05
311001076308,PREK,1.6,15,005106,0.10666666666666667,2021-02-15,2021-03-05
311001044074,PREK,1,61,004210,0.01639344262295082,2021-02-15,2021-03-05
311001108641,PREK,7.2,40,008515,0.18,2021-02-15,2021-03-05
311001105898,PREK,4.2,27,005107,0.15555555555555556,2021-02-15,2021-03-05
311001042241,PREK,7.2,18,007306,0.4,2021-02-15,2021-03-05
311001105715,PREK,2,45,009129,0.044444444444444446,2021-02-15,2021-03-05
311001091536,PREK,6.4,22,004101,0.29090909090909095,2021-02-15,2021-03-05
311001092893,PREK,6,28,004205,0.21428571428571427,2021-02-15,2021-03-05
311001036730,PREK,1.4000000000000001,21,009127,0.06666666666666668,2021-02-15,2021-03-05
311001091803,PREK,4,21,006508,0.19047619047619047,2021-02-15,2021-03-05
311001045208,PREK,2,42,009116,0.047619047619047616,2021-02-15,2021-03-05
311001105081,PREK,7.4,45,006311,0.16444444444444445,2021-02-15,2021-03-05
311001009929,PREK,3,60,007309,0.05,2021-02-15,2021-03-05
111001006122,PREK,12,255,004207,0.047058823529411764,2021-02-15,2021-03-05
111001006122,PRIMARY,0,1337,004207,0,2021-02-15,2021-03-05
111001006122,SECONDARY,0,1594,004207,0,2021-02-15,2021-03-05
111001011029,SECONDARY,11.4,940,001415,0.012127659574468085,2021-02-15,2021-03-05
111001011690,PREK,0.2,97,004510,0.002061855670103093,2021-02-15,2021-03-05
111001011690,PRIMARY,0,671,004510,0,2021-02-15,2021-03-05
111001011690,SECONDARY,0.8,1278,004510,6.259780907668232e-4,2021-02-15,2021-03-05
111001011819,PREK,83.4,498,002201,0.1674698795180723,2021-02-15,2021-03-05
111001011819,PRIMARY,0,1880,002201,0,2021-02-15,2021-03-05
111001011819,SECONDARY,0,2459,002201,0,2021-02-15,2021-03-05
111001013102,PREK,0,238,004508,0,2021-02-15,2021-03-05
111001013102,PRIMARY,0,775,004508,0,2021-02-15,2021-03-05
111001013102,SECONDARY,0,929,004508,0,2021-02-15,2021-03-05
111001014001,PREK,10.4,83,004105,0.12530120481927712,2021-02-15,2021-03-05
111001014001,PRIMARY,0,485,004105,0,2021-02-15,2021-03-05
111001014001,SECONDARY,0,572,004105,0,2021-02-15,2021-03-05
111001015733,PRIMARY,0,307,002201,0,2021-02-15,2021-03-05
111001015733,SECONDARY,0,579,002201,0,2021-02-15,2021-03-05
111001015903,PRIMARY,2.4000000000000004,596,001302,0.004026845637583893,2021-02-15,2021-03-05
111001015903,SECONDARY,14.8,778,001302,0.019023136246786632,2021-02-15,2021-03-05
111001024732,PREK,1.6,459,004514,0.0034858387799564274,2021-02-15,2021-03-05
111001024732,PRIMARY,0,1432,004514,0,2021-02-15,2021-03-05
111001024732,SECONDARY,3,3776,004514,7.944915254237289e-4,2021-02-15,2021-03-05
111001030015,PREK,33,580,001426,0.056896551724137934,2021-02-15,2021-03-05
111001030015,PRIMARY,0,1760,001426,0,2021-02-15,2021-03-05
111001030015,SECONDARY,0,2873,001426,0,2021-02-15,2021-03-05
111001035530,PRIMARY,0,37,001112,0,2021-02-15,2021-03-05
111001035530,SECONDARY,8,1131,001112,0.007073386383731211,2021-02-15,2021-03-05
111001065234,PRIMARY,10.200000000000001,770,002538,0.013246753246753248,2021-02-15,2021-03-05
111001065234,SECONDARY,0,1244,002538,0,2021-02-15,2021-03-05
111001086649,PRIMARY,1.6,426,004506,0.0037558685446009393,2021-02-15,2021-03-05
111001086649,SECONDARY,0,549,004506,0,2021-02-15,2021-03-05
111001086801,PREK,4.800000000000001,56,002438,0.08571428571428573,2021-02-15,2021-03-05
111001086801,PRIMARY,1.6,628,002438,0.002547770700636943,2021-02-15,2021-03-05
111001098817,PREK,2.8000000000000003,213,001332,0.013145539906103287,2021-02-15,2021-03-05
111001098817,PRIMARY,16.8,719,001332,0.023365785813630042,2021-02-15,2021-03-05
111001098817,SECONDARY,36.6,791,001332,0.04627054361567636,2021-02-15,2021-03-05
111001098825,PREK,1.8,83,001308,0.021686746987951807,2021-02-15,2021-03-05
111001098825,PRIMARY,14.4,373,001308,0.0386058981233244,2021-02-15,2021-03-05
111001098825,SECONDARY,17.2,431,001308,0.03990719257540603,2021-02-15,2021-03-05
111001098876,PREK,0,94,004546,0,2021-02-15,2021-03-05
111001098876,PRIMARY,0,309,004546,0,2021-02-15,2021-03-05
111001098876,SECONDARY,25.400000000000002,426,004546,0.059624413145539915,2021-02-15,2021-03-05
111001098884,PREK,6,92,004539,0.06521739130434782,2021-02-15,2021-03-05
111001098884,PRIMARY,66,154,004539,0.42857142857142855,2021-02-15,2021-03-05
111001098892,PREK,2.4000000000000004,72,004627,0.03333333333333334,2021-02-15,2021-03-05
111001098892,SECONDARY,13.8,476,004627,0.028991596638655463,2021-02-15,2021-03-05
